Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Janson Junk","MIA",4,4,2,4.16314,55,5,0,4,,77,326,81,39,36,11,15,,3,58,6.75699,1.80108,3.75162,1.236,0.17811,0.0474754,0.13063428923487663,0.264702,1.2534,0.296326,0.71061,,,4.12736,0.433184,0.370992,586.7999877929688,,,,,,,301.9,3.9207792207792207,320,4.1558441558441555,,,,,,,,,,,,,,,,,,,"Janson Junk","23301",676083
"Christian Scott","NYM",3,3,2,3.80081,29,5,0,1,,51,215,48,23,22,7,14,,2,50,8.74905,2.40717,3.63459,1.248,0.232924,0.0640853,0.16883830726146698,0.239147,1.19195,0.285236,0.738963,,,3.91694,0.428467,0.471911,513.3300170898438,,,,,,,222.50000000000006,4.362745098039217,220,4.313725490196078,,,,,,,,,,,,,,,,,,,"Christian Scott","30107",681035
"McCade Brown","COL",5,9,8,5.51797,21,21,0,0,,114,509,123,74,70,20,50,,6,98,7.72852,3.97237,1.94557,1.603,0.191925,0.098647,0.09327781945466995,0.27112,1.51952,0.306155,0.685117,,,5.22605,0.426138,0.690914,748.0700073242188,,,,,,,305.7999999999999,2.6824561403508764,338,2.9649122807017543,,,,,,,,,,,,,,,,,,,"McCade Brown","30004",685326
"Kyle Hurt","LAD",3,2,2,4.01605,23,5,0,1,,45,194,41,22,20,6,19,,2,47,9.2457,3.68309,2.51031,1.178,0.240575,0.0958349,0.14474017918109894,0.238217,1.31957,0.292666,0.736692,,,4.12827,0.423497,0.406477,999,,,,,,,187.6,4.168888888888889,182,4.044444444444444,,,,,,,,,,,,,,,,,,,"Kyle Hurt","27514",669165
"JoJo Romero","STL",3,3,0,3.56338,64,0,14,9,,64,274,59,28,25,6,26,,3,61,8.55239,3.58872,2.38313,0.886,0.222172,0.0932271,0.12894519418478012,0.242035,1.3274,0.297764,0.75023,,,3.83527,0.422956,0.751056,459.20001220703125,,,,,,,387.4,6.053125,383,5.984375,,,,,,,,,,,,,,,,,,,"JoJo Romero","19574",668941
"Kenley Jansen","DET",3,3,0,4.08641,60,0,23,4,,60,254,53,29,27,8,22,,2,63,9.3753,3.27354,2.86396,1.242,0.245737,0.0858031,0.15993394702672958,0.230778,1.24981,0.281249,0.726395,,,4.04428,0.422783,0.301413,115.12999725341797,,,,,,,392.8,6.546666666666667,381,6.35,,,,,,,,,,,,,,,,,,,"Kenley Jansen","3096",445276
"Gabe Speier","SEA",3,3,0,3.20518,58,0,0,12,,58,238,48,22,21,6,18,,3,66,10.3188,2.75982,3.73894,0.988,0.278952,0.074607,0.20434457063674927,0.220136,1.13417,0.286772,0.761368,,,3.32213,0.416585,0.48319,695.27001953125,,,,,,,347.6,5.993103448275862,329,5.672413793103448,,,,,,,,,,,,,,,,,,,"Gabe Speier","17170",642100
"Justin Slaten","BOS",3,3,0,3.95787,61,0,0,13,,61,258,58,29,27,7,20,,2,59,8.68983,2.9719,2.92399,1.086,0.228157,0.0780291,0.15012744814157486,0.247644,1.28749,0.301011,0.726741,,,3.8718,0.415108,0.377092,728.0700073242188,,,,,,,318.50000000000006,5.221311475409837,318,5.213114754098361,,,,,,,,,,,,,,,,,,,"Justin Slaten","25648",686580
"Hayden Birdsong","SFG",4,5,4,4.44027,25,11,0,1,,74,325,69,39,36,10,36,,4,73,8.83128,4.34112,2.03433,1.218,0.223398,0.109814,0.11358402669429779,0.241972,1.41542,0.291196,0.722887,,,4.54081,0.414164,0.399203,616.27001953125,,,,,,,275.20000000000005,3.7189189189189196,270,3.6486486486486487,,,,,,,,,,,,,,,,,,,"Hayden Birdsong","31635",806185
"Victor Vodnik","COL",3,3,0,4.38628,64,0,22,4,,64,280,64,34,31,7,30,,2,63,8.84579,4.26254,2.07524,1.026,0.22429,0.108079,0.11621074378490448,0.258272,1.47426,0.319223,0.720639,,,4.17466,0.409375,0.659456,391.6000061035156,,,,,,,377.1,5.8921875,385,6.015625,,,,,,,,,,,,,,,,,,,"Victor Vodnik","24614",680767
