Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nate Furman","SFG",3,14,12,3,2,1,0,0,1,1,1,0,2,0,0,0,,0,0,0.252362,0.0977998,0.174256,0.561241,0.334406,0.364506,0.311184,0.698912,0.112144,4.44345,0.295063,-0.000974925,-0.00784975,1.63294,-0.0212723,101.149,-0.00882467,0,0.01024556066840887,0.05000000074505806,0.0538193,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Nate Furman","sa3020763",801501
"Adam Frazier",,86,371,337,81,59,16,1,6,35,34,24,1,69,5,3,1,,6,2,0.238881,0.0660001,0.186485,0.353916,0.298271,0.339673,0.282113,0.637944,0.100792,4.07666,0.282634,-0.0634999,-0.237375,34.5161,-9.32036,78.5051,-0.300875,-1.63479,-9.726177752017975,-2.309785306453705,0.0532308,734.469970703125,,,,,,,317.9,3.696511627,317.9,3.696511627,,,,,,,,,,,,,,,,,,,"Adam Frazier","15223",624428
"Tristan Peters","CHW",13,56,50,11,8,2,0,1,6,5,5,0,13,1,0,0,,1,0,0.224872,0.0881995,0.226698,0.389062,0.298822,0.346982,0.286118,0.645804,0.122109,4.42903,0.276437,-0.0129524,-0.035604,5.39207,-1.22476,81.3823,-0.0485564,0.361905,-1.27737470343709,-0.13809525966644287,0.0523798,999,,,,,,,46.7,3.592307692,46.7,3.592307692,,,,,,,,,,,,,,,,,,,"Tristan Peters","30063",671976
"Jorge Barrosa","ARI",18,77,69,16,11,4,0,1,8,7,7,0,18,1,1,0,,1,0,0.231264,0.0866998,0.230975,0.375364,0.301847,0.34474,0.286441,0.646587,0.113476,4.59128,0.292278,-0.0130645,-0.0430519,7.4343,-1.66384,80.822,-0.0561165,0.0644516,-1.80631685256958,-0.260548397898674,0.0506389,999,,,,,,,67.5,3.75,67.5,3.75,,,,,,,,,,,,,,,,,,,"Jorge Barrosa","23968",678489
"Victor Mesa Jr.","MIA",6,28,25,6,4,1,0,1,3,3,2,0,6,0,0,0,,0,0,0.243253,0.0713999,0.205106,0.348112,0.301002,0.389111,0.301186,0.690113,0.145858,4.0569,0.283326,0.00332592,-0.0162043,3.03858,-0.269834,90.5659,-0.0128783,-0.125276,-0.32595629431307316,-0.12527631223201752,0.0491442,999,,,,,,,26.9,4.483333333,26.9,4.483333333,,,,,,,,,,,,,,,,,,,"Victor Mesa Jr.","25999",683748
"Rafael Flores Jr.","PIT",57,241,217,51,34,10,1,6,25,25,20,0,66,2,2,1,,1,0,0.235606,0.0814002,0.274283,0.296775,0.302458,0.372953,0.296528,0.675411,0.137347,3.4413,0.30724,-0.0940704,-0.251358,25.2212,-3.23118,86.8328,-0.345429,0.0337991,-4.103326499462128,-3.441200815141201,0.0475161,711.0700073242188,,,,,,,227.6,3.992982456,227.6,3.992982456,,,,,,,,,,,,,,,,,,,"Rafael Flores Jr.","31991",804668
"Spencer Jones","NYY",8,35,32,7,4,1,0,1,4,4,3,0,13,0,0,0,,1,0,0.216485,0.0744999,0.368403,0.202224,0.279779,0.388275,0.290336,0.668054,0.17179,5.15571,0.312547,-0.0054,0.0308109,3.48993,-0.64559,85.6739,0.0254109,0,-0.5655630175024271,-0.17499999701976776,0.0474812,999,,,,,,,30.4,3.8,30.4,3.8,,,,,,,,,,,,,,,,,,,"Spencer Jones","sa3019969",682987
"Shay Whitcomb","HOU",10,42,38,8,5,2,0,1,5,5,3,0,12,0,0,0,,1,0,0.216929,0.0699995,0.285115,0.245513,0.27898,0.375395,0.285092,0.654375,0.158466,4.47346,0.272865,-0.0125907,0.00739238,4.00907,-0.953556,81.5081,-0.0051983,-0.212153,-0.9205844365060329,-0.06215284764766693,0.0473538,999,,,,,,,32.9,3.29,32.9,3.29,,,,,,,,,,,,,,,,,,,"Shay Whitcomb","27789",694376
"Ryan Vilade","TBR",32,140,125,30,21,6,0,3,15,13,12,0,35,2,1,1,,2,1,0.236048,0.0839,0.24695,0.339745,0.307078,0.357135,0.293689,0.664213,0.121088,4.31887,0.30095,-0.0102827,-0.0655991,14.3408,-2.20129,85.9729,-0.0758819,-1.51717,-2.3904436975717545,-1.9671725630760193,0.0471616,999,,,,,,,131.6,4.1125,131.6,4.1125,,,,,,,,,,,,,,,,,,,"Ryan Vilade","22165",668723
"Eduardo Valencia","DET",5,20,18,4,3,1,0,1,2,2,1,0,5,0,0,0,,0,0,0.232716,0.0715005,0.23209,0.308073,0.293007,0.38027,0.29319,0.673276,0.147554,3.17479,0.278044,-0.00469313,-0.0226824,2.02017,-0.31935,86.2605,-0.0273756,0,-0.34800959937274456,0.125,0.0469077,999,,,,,,,19.7,3.94,19.7,3.94,,,,,,,,,,,,,,,,,,,"Eduardo Valencia","sa3006622",680664
