player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Caleb Durbin,702332,239.92,2025-05-12,0,0,0,0,0,2,0,1,0,8,159,Unusable
Endy Rodriguez,682848,239.97,2025-06-02,0,1,0,0,0,0,1,0,0,8,161,Unusable
Will Wagner,695238,239.98,2025-08-25,1,0,0,0,1,0,1,0,0,8,151,Unusable
Will Wagner,695238,239.98,2025-09-22,1,0,0,0,1,0,1,0,0,8,153,Unusable
Michael Massey,686681,239.99,2025-03-24,2,0,0,0,0,0,0,1,0,8,125,Unusable
Ke'Bryan Hayes,663647,240,2025-09-15,0,0,0,0,2,0,1,0,0,8,143,Unusable
Jose Miranda,669304,240,2025-03-24,2,0,0,0,0,0,1,0,0,8,125,Unusable
Yoan Moncada,660162,NA,2025-09-15,1,0,0,0,0,1,0,1,0,8,143,Unusable
Christian Moore,695681,NA,2025-07-28,1,0,0,0,1,0,1,0,0,8,157,Unusable
Matt Mervis,670223,NA,2025-03-24,1,0,0,0,1,0,1,0,0,8,125,Unusable
Matt Mervis,670223,NA,2025-04-28,1,0,0,0,0,1,1,0,0,8,163,Unusable
Matt Mervis,670223,NA,2025-05-12,0,1,0,0,0,0,1,0,0,8,159,Unusable
Joey Bart,663698,NA,2025-08-04,2,0,0,0,0,0,0,1,0,8,151,Unusable
Orlando Arcia,606115,NA,2025-09-01,0,1,0,0,0,0,1,0,0,8,146,Unusable
Isaac Collins,686555,NA,2025-04-07,1,0,0,0,1,0,1,0,0,8,159,Unusable
Amed Rosario,642708,NA,2025-04-21,0,1,0,0,0,0,1,0,0,8,161,Unusable
Mark Canha,592192,NA,2025-04-14,2,0,0,0,0,0,0,1,0,8,159,Unusable
Mark Canha,592192,NA,2025-04-28,1,0,0,0,1,0,1,0,0,8,163,Unusable
David Hamilton,666152,NA,2025-05-26,0,0,0,0,0,0,1,1,1,8,148,Unusable
Kyle Higashioka,543309,NA,2025-05-12,1,0,0,0,1,0,1,0,0,8,159,Unusable
Kyle Higashioka,543309,NA,2025-07-21,2,0,0,0,0,0,1,0,0,8,145,Unusable
Jacob Stallings,607732,NA,2025-04-28,2,0,0,0,0,0,0,1,0,8,163,Unusable
Jonah Heim,641680,NA,2025-05-26,2,0,0,0,0,0,0,1,0,8,148,Unusable
Jonah Heim,641680,NA,2025-09-01,0,0,0,0,2,0,0,1,0,8,146,Unusable
Korey Lee,686676,NA,2025-03-24,1,0,0,0,1,0,1,0,0,8,125,Unusable
Gustavo Campero,672569,NA,2025-06-30,0,0,0,0,1,1,1,0,0,8,153,Unusable
Rowdy Tellez,642133,NA,2025-03-24,1,0,0,0,0,1,1,0,0,8,125,Unusable
David Fry,681807,NA,2025-06-09,0,0,0,0,1,1,1,0,0,8,157,Unusable
Miguel Amaya,665804,NA,2025-03-17,0,1,0,0,0,0,0,1,0,8,7,IF1
Nick Fortes,663743,NA,2025-04-07,2,0,0,0,0,0,0,1,0,8,159,Unusable
Nick Fortes,663743,NA,2025-05-05,1,0,0,0,1,0,1,0,0,8,162,Unusable
Nick Fortes,663743,NA,2025-06-30,2,0,0,0,0,0,0,1,0,8,153,Unusable
Trey Sweeney,700242,NA,2025-03-24,1,0,0,0,1,0,0,1,0,8,125,Unusable
Trey Sweeney,700242,NA,2025-08-04,1,0,0,0,1,0,1,0,0,8,151,Unusable
Trey Sweeney,700242,NA,2025-08-25,2,0,0,0,0,0,1,0,0,8,151,Unusable
Andres Chaparro,665953,NA,2025-09-15,1,0,0,0,1,0,1,0,0,8,143,Unusable
Connor Wong,657136,NA,2025-05-05,2,0,0,0,0,0,1,0,0,8,162,Unusable
Connor Wong,657136,NA,2025-06-23,1,0,0,0,1,0,0,1,0,8,148,Unusable
Connor Wong,657136,NA,2025-07-21,0,1,0,0,0,0,1,0,0,8,145,Unusable
Connor Wong,657136,NA,2025-09-22,0,0,0,0,2,0,1,0,0,8,153,Unusable
